University,University Total Annual Expenses 2023 [Millions of Dollars],University Endowment [Millions of Dollars],Province,City,Example Department,Department,Program,Domestic Tuition,Ancillary Fees,Total Domestic Fees,International Tuition,Int Ancillary Fees,Total Int Fees,Int Waiver,Guaranteed Funding,Years Guaranteed,Gross Stipend,Net Stipend,Gross Stipend International,Net Stipend Int,Hours TAing,Hours RAing,Date of collection,Academic Year of Stipend,Tuition Get / 2,Tuition Parse / 2,Stipend Get / 3,Stipend Complete / 3,MBM Threshold 2020,Notes on Thresholds ,MBM Threshold 2023,Rental Costs,Rental costs per year,Net domestic - MBM Threshold (2023) ,Net domestic - Rent/year,Net domestic - Rent - $12K,Net International - MBM Threshold (2023) ,Net International - Rent/year,Net International - Rent - $12K
Brock,385,122,ON,St. Catharines,Physics,Physics Department,MSc,8176.23,1789.67,9965.9,20926.02,2545.67,23471.69,,No,,,,,,,,45400,,0,1,1,0,22170,"St. Catharines, Ont 140370 pop large urban pop",25402.39,1628,19536,,,,,,
Brock,385,122,ON,St. Catharines,Physics,Physics Department,PhD,8176.23,1789.67,9965.9,20926.02,2545.67,23471.69,,No,,,,,,,,45400,,0,1,1,0,22170,"St. Catharines, Ont 140370 pop large urban pop",25402.39,1628,19536,,,,,,
TMU (Ryerson),1036,155,ON,Toronto,Biological Sciences - Ecology,Department of Chemistry and Biology,MSc,7612.63,1363.99,8976.62,24260,2119.98,26379.98,No,No,0,21500,12523.38,Not Specified,Not Specified,0,0,45371,45017,0,0.5,0,0,24864,Toronto,28489.17,2620,31440,-15965.79,-18916.62,-30916.62,-33369.15,-36319.98,-48319.98
TMU (Ryerson),1036,155,ON,Toronto,Biological Sciences - Ecology,Department of Chemistry and Biology,PhD,7612.63,1363.99,8976.62,23240,2119.99,25359.99,No,No,0,25500,16523.38,Not Specified,Not Specified,0,0,45371,45017,0,0.5,0,0,24864,Toronto,28489.17,2620,31440,-11965.79,-14916.62,-26916.62,-28349.16,-31299.99,-43299.99
Windsor,427,140,ON,Windsor,Physics,Department of Physics,MSc,7179.3,1531.45,8710.75,24165,2271.61,26436.61,,No,,,,,,,,45400,2023-2024,1,2,,,22170,"Windsor, Ont 233763 population large population",25402.39,1588,19056,,,,,,
Windsor,427,140,ON,Windsor,Physics,Department of Physics,PhD,7179.3,1531.45,8710.75,23685,2271.61,25956.61,,No,,,,,,,,45400,2023-2024,1,2,,,22170,"Windsor, Ont 233763 population large population",25402.39,1588,19056,,,,,,
UQAM,628,Data not found,QC,Montreal,Physics,"No physics department, using Sciences de lƒ??atmosph??re: m??t??o et climat",MSc,4315,,4315,23840,,23840,,No,,,,Not Specified,Not Specified,,,45447,,1,1,0,0,20753,Montreal,23778.79,1769,21228,,,,,,
Laval,1125,34,QC,Quebec City,Biological Sciences - Ecology,Departemente de Biologie,MSc,2304.72,975.28,3280,15782.4,975.28,16757.68,,No,,,,,,,,45447,,,,,,20462,Quebec City,23445.36,1254,15048,,,,,,
Laval,1125,34,QC,Quebec City,Biological Sciences - Ecology,Departemente de Biologie,PhD,2304.72,975.28,3280,14166.72,975.28,15142,,No,,,,,,,,45447,,,,,,20462,Quebec City,23445.36,1254,15048,,,,,,
Saskatchewan,1122,475,SK,Saskatoon,Biological Sciences - Ecology,Department of Biology,MSc,4932,1227.45,6159.45,11097,1227.45,12324.45,No,No,2.33,22500,16340.55,Not Specified,Not Specified,288,,45488,2023-2024,0,1.5,1,0,23513,Saskatoon,26941.2,1055,12660,-10600.65,3680.55,-8319.45,-16765.65,-2484.45,-14484.45
Saskatchewan,1122,475,SK,Saskatoon,Biological Sciences - Ecology,Department of Biology,PhD,4932,1227.45,6159.45,4932,1277.45,6209.45,No,No,4.33,24000,17840.55,Not Specified,Not Specified,288,,45488,2023-2024,0,1.5,1,0,23513,Saskatoon,26941.2,1055,12660,-9100.65,5180.55,-6819.45,-9150.65,5130.55,-6869.45
Laval,1125,34,QC,Quebec City,Physics,"D??partement de physique, de g??nie physique et d'optique",MSc,2304.72,975.28,3280,15782.4,975.28,16757.68,,"No (officially, informally most offer a minimum of 16K, 2yrs guaranteed)",2,16000,12720,Not Specified,Not Specified,,,45447,2024-2025,0,0,0,0,20462,Quebec City,23445.36,1254,15048,-10725.36,-2328,-14328,-24203.04,-15805.68,-27805.68
Laval,1125,34,QC,Quebec City,Physics,"D??partement de physique, de g??nie physique et d'optique",PhD,2304.72,975.28,3280,14166.72,975.28,15142,,"No (officially, informally most offer a minimum of 16K, 4yrs guaranteed)",4,16000,12720,Not Specified,Not Specified,,,45447,2024-2025,0,0,0,0,20462,Quebec City,23445.36,1254,15048,-10725.36,-2328,-14328,-22587.36,-14190,-26190
??cole Polytechnique de Montr??al,305,Data not found,QC,Montreal,Biological Sciences - Ecology,Genie Biomedical,MSc,4100,,4100,23100,,23100,,"No, Discretion of Supervisor",1.66,20500,16400,Not Specified,Not Specified,,,45453,2024-2025,1,1,1,0,20753,Montreal,23778.79,1769,21228,-7378.79,-4828,-16828,-26378.79,-23828,-35828
??cole Polytechnique de Montr??al,305,Data not found,QC,Montreal,Biological Sciences - Ecology,Genie Biomedical,PhD,4100,,4100,4100,,4100,,"No, Discretion of Supervisor",3,24000,19900,Not Specified,Not Specified,,,45453,2024-2025,1,1,1,0,20753,Montreal,23778.79,1769,21228,-3878.79,-1328,-13328,-3878.79,-1328,-13328
??cole Polytechnique de Montr??al,305,Data not found,QC,Montreal,Physics,Genie Physique,MSc,4100,,4100,23100,,23100,,"No, Discretion of Supervisor",1.66,20500,16400,Not Specified,Not Specified,,,45453,2024-2025,1,1,1,0,20753,Montreal,23778.79,1769,21228,-7378.79,-4828,-16828,-26378.79,-23828,-35828
??cole Polytechnique de Montr??al,305,Data not found,QC,Montreal,Physics,Genie Physique,PhD,4100,,4100,4100,,4100,,"No, Discretion of Supervisor",3,24000,19900,Not Specified,Not Specified,,,45453,2024-2025,1,1,1,0,20753,Montreal,23778.79,1769,21228,-3878.79,-1328,-13328,-3878.79,-1328,-13328
Simon Fraser University,873,486,BC,Burnaby,Biological Sciences - Ecology,Biological Sciences,MSc,6198.33,2200.99,8399.32,6198.33,3043.99,9242.32,,Yes,2,28000,19600.68,28000,18757.68,Up to 336,0,45350,2023-24,2,1.5,3,3,25285,Vancouver CMA,28971.55,2555,30660,-9370.87,-11059.32,-23059.32,-10213.87,-11902.32,-23902.32
Simon Fraser University,873,486,BC,Burnaby,Biological Sciences - Ecology,Biological Sciences,PhD,6198.33,2200.99,8399.32,6198.33,3043.99,9242.32,,Yes,4,28000,19600.68,28000,18757.68,Up to 336,0,45350,2023-24,2,1.5,3,3,25285,Vancouver CMA,28971.55,2555,30660,-9370.87,-11059.32,-23059.32,-10213.87,-11902.32,-23902.32
Simon Fraser University,873,486,BC,Burnaby,Physics,Physics,MSc,6198.33,2200.99,8399.32,6198.33,3043.99,9242.32,,Yes,2,27000,18600.68,27000,17757.68,Up to 434,0,45350,2023-24,2,2,3,3,25285,Vancouver CMA,28971.55,2555,30660,-10370.87,-12059.32,-24059.32,-11213.87,-12902.32,-24902.32
Simon Fraser University,873,486,BC,Burnaby,Physics,Physics,PhD,6198.33,2200.99,8399.32,6198.33,3043.99,9242.32,,Yes,4,29500,21100.68,29500,20257.68,Up to 343,0,45350,2023-24,2,2,3,3,25285,Vancouver CMA,28971.55,2555,30660,-7870.87,-9559.32,-21559.32,-8713.87,-10402.32,-22402.32
Alberta,1878,1728,AB,Edmonton,Biological Sciences - Ecology,Biological Sciences,MSc,4732.8,2697.09,7429.89,9406,2697.09,12103.09,,Yes,2.3,25197,17767.11,Not Specified,Not Specified,Half of students suppported by TAing,,45351,,1,2,3,0,24862,Edmonton,28486.88,1279,15348,-10719.77,2419.11,-9580.89,-15392.97,-2254.09,-14254.09
Alberta,1878,1728,AB,Edmonton,Biological Sciences - Ecology,Biological Sciences,PhD,4732.8,2697.09,7429.89,9406,2697.09,12103.09,,Yes,5,25917,18487.11,Not Specified,Not Specified,,,45351,,1,2,3,0,24862,Edmonton,28486.88,1279,15348,-9999.77,3139.11,-8860.89,-14672.97,-1534.09,-13534.09
Alberta,1878,1728,AB,Edmonton,Physics,Physics and Geophysics,MSc,4732.8,2697.09,7429.89,9406,2697.09,12103.09,,Yes,2,29010,21580.11,Not Specified,Not Specified,12hr/week,,45351,,1,2,3,1,24862,Edmonton,28486.88,1279,15348,-6906.77,6232.11,-5767.89,-11579.97,1558.91,-10441.09
Alberta,1878,1728,AB,Edmonton,Physics,Physics and Geophysics,PhD,4732.8,2697.09,7429.89,9406,2697.09,12103.09,,Yes,45416,30720,23290.11,Not Specified,Not Specified,12hr/week,,45351,,1,2,3,1,24862,Edmonton,28486.88,1279,15348,-5196.77,7942.11,-4057.89,-9869.97,3268.91,-8731.09
